0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
147.05,147.05,147.05,147.05,147.05,147.05,79.55,79.55,79.55,79.55,79.55,179.61,29.92,29.92,29.92,29.92,147.05,147.05,143.46,143.46,143.46,143.46,143.46,143.46,0.000308990478515625,0.0004241466522216797,0.0001399517059326172,0.0003910064697265625,2.6226043701171875e-05,0.0071811676025390625
57.14,57.14,57.14,57.14,57.14,57.14,26.08,26.08,26.08,26.08,26.08,26.08,36.76,36.76,36.76,36.76,36.76,36.76,2525.69,2525.69,2525.69,2525.69,2525.69,2525.69,9.298324584960938e-05,0.00013780593872070312,2.9802322387695312e-05,8.082389831542969e-05,2.5033950805664062e-05,0.0029501914978027344
39.68,39.68,39.68,39.68,39.68,39.68,31.57,31.57,31.57,31.57,31.57,31.57,24.51,24.51,24.51,24.51,24.51,24.51,301.97,301.97,301.97,301.97,301.97,301.97,2.5987625122070312e-05,3.409385681152344e-05,1.7881393432617188e-05,3.0994415283203125e-05,2.574920654296875e-05,0.0024061203002929688
55.82,55.82,55.82,55.82,55.82,55.82,59.59,59.59,59.59,59.59,59.59,45.08,24.51,24.51,24.51,24.51,24.51,24.51,533.56,533.56,533.56,533.56,533.56,533.56,8.7738037109375e-05,0.00010609626770019531,4.410743713378906e-05,7.319450378417969e-05,5.698204040527344e-05,0.004786252975463867
36.37,36.37,36.37,36.37,36.37,36.37,45.9,45.9,45.9,45.9,45.9,45.9,32.68,32.68,32.68,32.68,32.68,32.68,179.14,179.14,179.14,179.14,179.14,179.14,3.790855407714844e-05,5.221366882324219e-05,1.6927719116210938e-05,3.0994415283203125e-05,2.5033950805664062e-05,0.0030341148376464844
24.51,24.51,24.51,24.51,24.51,24.51,28.32,28.32,28.32,28.32,28.32,28.32,24.51,24.51,24.51,24.51,24.51,24.51,82.92,82.92,82.92,82.92,82.92,82.92,2.6941299438476562e-05,3.1948089599609375e-05,1.7881393432617188e-05,3.0994415283203125e-05,2.47955322265625e-05,0.0023670196533203125
32.68,32.68,32.68,32.68,32.68,32.68,46.04,46.04,46.04,46.04,46.04,27.86,32.68,32.68,32.68,32.68,32.68,32.68,138.83,138.83,138.83,138.83,138.83,138.83,5.2928924560546875e-05,7.390975952148438e-05,1.71661376953125e-05,3.0994415283203125e-05,2.4080276489257812e-05,0.002518177032470703
153.37,153.37,153.37,153.37,234.09,136.06,65.23,65.23,65.23,65.23,65.23,65.23,34.02,34.02,34.02,34.02,70.05,34.02,2426.31,2426.31,2426.31,2426.31,2426.31,1050.62,0.0002682209014892578,0.00037670135498046875,0.00010061264038085938,0.0002532005310058594,9.703636169433594e-05,0.03258514404296875
193.76,193.76,193.76,193.76,278.98,110.81,136.96,136.96,136.96,136.96,136.96,51.36,73.52,73.52,73.52,73.52,73.52,50.75,142.18,142.18,142.18,142.18,142.18,142.18,0.0009343624114990234,0.0012946128845214844,0.0005066394805908203,0.001046895980834961,0.0004436969757080078,11.977610111236572
80.16,80.16,80.16,80.16,208.77,80.16,40.8,40.8,40.8,40.8,40.8,40.8,32.28,32.28,32.28,32.28,182.0,32.28,76.78,76.78,76.78,76.78,76.78,76.78,0.0007567405700683594,0.0010330677032470703,0.00018143653869628906,0.0005669593811035156,0.00011110305786132812,0.08220458030700684
